Gene,Delta_Correlation,P_Value,FDR,Cancer
DNAJC11,0.509749746116245,1.7433824269126555e-11,9.917483183133166e-11,LSCC
DNAJC12,0.18748368350138278,0.013180578557714425,0.02218737527112318,LSCC
DNAJC13,0.4640713298937636,0.0006201597977959951,0.001361022112334502,LSCC
DNAJC14,0.4533145824931888,0.00033518731229788853,0.0007741281648587946,LSCC
DNAJC16,0.5337712304665194,4.201714882428081e-07,1.5312384340219802e-06,LSCC
DNAJC17,0.3980394519484228,0.0022270336240742443,0.004360605642527218,LSCC
DNAJC19,0.6571068284522664,1.2508442203588694e-13,8.261195333852533e-13,LSCC
DNAJC2,0.7328005511919669,9.699966103531849e-74,4.624926820679593e-72,LSCC
DNAJC21,0.6496734654996467,1.1538666499600549e-17,1.0115874477190126e-16,LSCC
DNAJC24,0.3032613512008945,0.06817515797364584,0.09727420164477017,LSCC
DNAJC25,0.6643278548699825,4.338483062613106e-09,1.9766827063565414e-08,LSCC
DNAJC3,0.7515528438484058,2.5930149173167024e-06,8.437194003636597e-06,LSCC
DNAJC30,0.19505647538010282,0.19384012581261834,0.24669117392987283,LSCC
DNAJC5,0.6421129402701462,1.954078603052063e-06,6.458737760346299e-06,LSCC
DNAJC6,0.4071509777311681,0.006492689812661561,0.011636057246696412,LSCC
DNAJC7,0.6917952782961523,3.3978590409537443e-49,9.746207291347799e-48,LSCC
DNAJC8,0.5056688515292644,0.003889914351193536,0.007259615263832606,LSCC
DNAJC9,0.6997314701147309,2.031673832183886e-64,7.944721665349289e-63,LSCC
DNAL1,0.14020669072330638,0.02365963801873916,0.03769107926461216,LSCC
DNAL4,0.14020388060333366,0.08370097920286863,0.11686531529853389,LSCC
DNALI1,-0.12756435908222286,0.0021523993257624675,0.004225886413285855,LSCC
DNASE1L1,0.6825357069325746,1.0660797126651313e-10,5.672712949771239e-10,LSCC
DNASE2,0.12233767495278303,0.21239886791306295,0.2675343228665604,LSCC
DNHD1,-0.04902719787131661,0.7707735131185034,0.8109832424614063,LSCC
DNLZ,0.07666072174286376,0.6553906634836175,0.7087189796807327,LSCC
DNM1,0.05617576849013428,0.41543465380095235,0.4814188382336801,LSCC
DNM1L,0.4909919862008791,1.965389069339532e-09,9.28138339391401e-09,LSCC
DNM2,0.5334312449075032,2.430101326576653e-16,1.9583121957905704e-15,LSCC
DNM3,0.16858219689509651,0.1282453826740384,0.17108302307638623,LSCC
DNMBP,0.12401606052457584,0.22086068046672003,0.276865366392264,LSCC
DNMT1,0.377945173075387,3.7435898158253047e-56,1.2522019965488273e-54,LSCC
DNMT3A,0.5533030643386334,2.6663660854852965e-15,2.0185282531553383e-14,LSCC
DNMT3B,0.3553285447904089,0.0008714339317237559,0.0018542490255958016,LSCC
DNPEP,0.2861872017285576,0.0014295351405135969,0.0029053050126235393,LSCC
DNPH1,0.16407936337473056,0.20380109156337722,0.25803886168011575,LSCC
