Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
A1BG,-0.03306754721656694,-1.0970532031293605,0.08004757380177155,28.52371088508202,0.7390244890411519,0.037346296977642426,0.36574464128816264,2.9132517733298667e-108,0.8565773667701941,0.12498395851129904,1.1757559334661969e-106,HNSCC
A1CF,-0.16352460014371079,0.9260396722889355,0.6868860354466678,15.095670064083018,0.885229395502792,0.8164090317125704,0.5430584501897469,0.0014990882984325003,0.9432945803228003,0.9016462446917146,0.0016388805814765125,HNSCC
A2M,-0.19318258929645626,1.359382906096957,0.3332383096889738,25.555446445586906,0.15803937451069833,0.47514087958167084,0.005651778691310836,2.2335609408734434e-32,0.33337891312126455,0.6645202617960025,5.128114247400812e-32,HNSCC
A2ML1,-0.059733819470587424,0.36285593239285074,0.4747263527748124,21.147735017319935,0.33782591079395186,0.7054141407529411,3.7741759831358424e-14,1.0762033485341417e-51,0.548248449042498,0.8313136688158287,4.9116088991611365e-51,HNSCC
A4GALT,0.29562259535635366,-2.658426337492766,0.1652941413478536,16.156613119679367,0.5212047973893836,0.5631171995715665,0.7126000256791605,0.0010971017060306533,0.7074731993998892,0.7326766621306156,0.0012033834338023729,HNSCC
AAAS,0.37909894617601386,-3.6328938777146473,-0.22588823657658957,26.413657627510798,0.05309393751737978,0.06275841573910708,0.21901208760360147,4.4564876267430415e-30,0.16073891224877418,0.17812563820291039,9.492367815477134e-30,HNSCC
AACS,-0.11581975479263494,1.350959024751591,0.7929736523295585,16.697872847709867,0.377074653239871,0.33823518820512277,3.4068452409912256e-10,1.9914853582032963e-26,0.5848942819091332,0.5409184479595993,3.803986626660419e-26,HNSCC
AADAC,-0.2968569459643978,2.2532582221590283,0.5573182335060848,17.81917491388319,0.00031006025173774217,0.000924824986506553,1.1708209232350617e-12,7.743939425628986e-59,0.0035210077410571254,0.008237884913218873,4.635558158504421e-58,HNSCC
AADAT,0.1323998105854735,-1.5596931725722596,-0.3331200142668163,15.222158669183637,0.947400790622963,0.911617684306732,0.8674057574742104,0.3029021979568793,0.9752580635616219,0.9548985021997537,0.30950213116924247,HNSCC
AAED1,-0.6650336255504775,4.54371365743852,0.8663598777778567,12.387151642212064,0.04155889367885675,0.08158954461478783,0.00350451312769668,4.430564386062821e-07,0.1363598899712941,0.2137642377907911,5.256501821547235e-07,HNSCC
AAGAB,0.18812410540311564,-2.1282912014294775,0.344006869605378,20.756065570507545,0.39251482205518273,0.3706762080290188,0.1038074377600164,3.929798250922791e-16,0.5993276013531745,0.5725467978264518,5.711990606153682e-16,HNSCC
AAK1,0.3909933064013739,-4.3514201341857275,-0.0033515147815902256,24.3826468679623,0.00020900942548816268,0.0004138469878935296,0.9722852375809466,9.964957602891703e-48,0.002619512971609751,0.0043459561747694955,3.8902630237376e-47,HNSCC
AAMDC,-0.7092778143642267,5.28377167612881,1.104125988438445,16.34503849358097,0.0008016979079084373,0.0024892726480203113,4.944147733352228e-08,9.405270996526178e-19,0.007500861766804062,0.01733232721989807,1.4511956034735943e-18,HNSCC
AAMP,0.34942138325313854,-3.7549750339525043,0.3363302484087407,20.54293093674859,0.042250519765692385,0.05942415796589576,0.03650167663183214,3.5028350565561916e-21,0.13800286848357354,0.17159349046125058,5.764077064936832e-21,HNSCC
AAR2,0.07720788411050396,-0.7065798500257843,0.3250067569836701,20.650319183390213,0.774328188431769,0.7924065517191691,0.20723217235463565,1.9989909381770587e-13,0.8784349823688546,0.8870794740141181,2.724677810885487e-13,HNSCC
AARS,0.05812391617097158,-0.7588772535354189,0.5027021086541565,21.17461851894757,0.5321602791861557,0.4906303055381286,5.719540002441566e-09,4.749144962033319e-49,0.7155142960232013,0.676624696874407,1.947923020369403e-48,HNSCC
AARS2,0.45821691505746653,-4.7479477865108874,0.024957370834376547,23.911026810259486,0.000799054924665583,0.0007617406526296639,0.8362812520051468,9.501084135451426e-42,0.007482177196767541,0.007058593583527517,3.0109728465371786e-41,HNSCC
AARSD1,0.30402459933663467,-3.0591946281379347,0.13762359404292737,23.515761820555834,0.11063504527983846,0.08227298418367007,0.4446485035891685,2.339421504068849e-29,0.264169393831451,0.21501985013525507,4.87277814810816e-29,HNSCC
AASDH,-0.24962598207388229,1.5788538544027275,0.3224276611351051,18.807647631849704,0.7191600886892136,0.8188115270348355,0.6324755655748335,0.005946867700679975,0.843472369303823,0.9029971804799588,0.006395187872711554,HNSCC
AASDHPPT,0.5154278732076716,-5.294109063239562,0.11694638059912252,23.684425906439692,3.1604982117283134e-05,4.3325551841378504e-05,0.30582493000092315,1.5185058354759859e-43,0.0005820039870659627,0.0007190572531277035,5.099696460515612e-43,HNSCC
