Gene,Delta_Correlation,P_Value,FDR,Cancer
RPL13,-0.15526098720471854,0.2277397556273303,0.2771048183408778,LSCC
RPL13A,-0.33816726791757534,0.0032139030467614347,0.006010662335241149,LSCC
RPL14,-0.20065294087297575,0.15285590249398637,0.19382128436237472,LSCC
RPL15,-0.15672540552406386,0.2782102971924685,0.33182858607446175,LSCC
RPL18,-0.14457526760545905,0.11774358011512906,0.15345931204589458,LSCC
RPL18A,-0.16370760570254564,0.057263677813271824,0.08062838879766293,LSCC
RPL19,-0.2435371576632673,0.07424787499520448,0.10166390210261048,LSCC
RPL21,-0.38718068125909527,0.004912035778543833,0.00881940722226907,LSCC
RPL22,0.05201851428088068,0.7357471808105046,0.7750020754325225,LSCC
RPL22L1,0.46334121302233716,6.251262052623795e-05,0.00016805512966912308,LSCC
RPL23,-0.045637605125046166,0.6853475460057676,0.7286366866981386,LSCC
RPL23A,-0.4627713220714599,0.00029401023848621953,0.0006926112194395088,LSCC
RPL24,-0.34474962269394854,0.0068486940514919424,0.011896087749714773,LSCC
RPL26,0.0303352271574181,0.824212320801044,0.8531438553271214,LSCC
RPL26L1,0.05767478954099861,0.6982503589167804,0.7400792324657098,LSCC
RPL27,-0.23208558761618442,0.044136621069286536,0.06379016206214513,LSCC
RPL27A,-0.21650271051272255,0.04101814930510009,0.059706468335176496,LSCC
RPL28,-0.35340008440493503,0.000413104048093792,0.0009411745651519973,LSCC
RPL29,-0.001165196400870816,0.9934100116452366,0.9948920625621271,LSCC
RPL3,-0.20181716445971085,0.1166225100964946,0.15211979485897775,LSCC
RPL30,-0.18100716582124754,0.1484383010490347,0.1888282121916825,LSCC
RPL31,-0.37446547509072,0.004145081051696361,0.0075734333912838405,LSCC
RPL32,-0.27972654932110286,0.044182913615543065,0.06384898191472427,LSCC
RPL34,-0.23153493948342008,0.10404893139888201,0.13744720513069122,LSCC
RPL35,-0.29419018372417194,0.04001667350363521,0.05841267306516821,LSCC
RPL35A,-0.5288913467697702,8.280587149341257e-10,4.841089167432501e-09,LSCC
RPL36,-0.09357250466629474,0.37921466094454526,0.43576656033623506,LSCC
RPL36AL,0.20841720987003448,0.10463388048309244,0.1380920370155026,LSCC
RPL37,-0.21154038945971898,0.0806753862167378,0.10959022824728148,LSCC
RPL37A,-0.41799542752694985,0.0006646942706961901,0.0014440302716894958,LSCC
RPL38,-0.11641714294326744,0.16366921938834378,0.20613543004743176,LSCC
RPL39,-0.26492820611003376,0.0329139251614951,0.04894470791645935,LSCC
RPL4,-0.18408782139899815,0.08046501114324803,0.10933048067231176,LSCC
RPL5,-0.1572118808845444,0.231797549557211,0.2812923899986061,LSCC
RPL6,-0.29390296399642984,0.0221002617547139,0.03422556481812933,LSCC
RPL7,-0.1691297558416973,0.10015620798941582,0.1328586127601085,LSCC
RPL7A,-0.3124594304493239,0.013611307452933333,0.022098768054186257,LSCC
RPL7L1,0.29127600023919487,0.00016244887422188465,0.0004030144679609017,LSCC
RPL8,-0.24836772043775057,0.04878454763806367,0.06978306062240945,LSCC
RPL9,-0.2814275238482451,0.04556505422855461,0.06562403895429313,LSCC
RPLP0,-0.23822451479860512,8.867170147851647e-06,2.82738602199729e-05,LSCC
RPLP1,-0.09965079434583968,0.21112295720011387,0.2586788906557547,LSCC
RPLP2,0.015764977357510895,0.9029168360032236,0.9209122291955303,LSCC
RPN1,0.23982267010397967,0.0016237059445232667,0.003238331394424942,LSCC
RPN2,0.08652164928448439,0.31234878226929685,0.36709828045903353,LSCC
RPP14,0.03432139553158256,0.734948713275707,0.7743730695136523,LSCC
RPP21,0.304795987154925,0.06408212151987298,0.08919443478287481,LSCC
RPP25,0.3989361164113904,6.425684589047526e-07,2.504436903354179e-06,LSCC
RPP25L,0.10514977717944168,0.3548965322240203,0.4111755559127431,LSCC
RPP30,0.2383370099344752,0.08295325556603209,0.1123235112149452,LSCC
RPP38,0.40945918338417425,0.0003679939980123264,0.0008477084185136595,LSCC
RPP40,0.4586740367144631,1.7465259068303453e-25,3.515229920414092e-24,LSCC
RPRD1A,0.7324524453711331,2.270798149193553e-12,1.7334012360265438e-11,LSCC
RPRD1B,0.4839698582888784,2.1512075003984572e-11,1.5033423144242004e-10,LSCC
RPRD2,0.4321555197863298,2.7383664084004376e-05,7.955763098947504e-05,LSCC
RPS10,-0.21575598407319369,0.08186930421728389,0.1110534291843152,LSCC
RPS11,-0.4158005624361977,0.002616849069438526,0.004993893240874994,LSCC
RPS12,-0.019979606567073316,0.8562603873410203,0.8809631752917169,LSCC
RPS13,-0.22656972358216093,0.09795494494726871,0.13019588070559404,LSCC
RPS14,0.06715589254401053,0.6365600792918749,0.6849998703327559,LSCC
RPS15,-0.33458524586853483,0.0012546185705836572,0.0025544526543266185,LSCC
RPS15A,-0.3687524421428841,0.008493096851354028,0.014470471971879988,LSCC
RPS16,-0.13340319636680986,0.30426246443375937,0.3587028144750064,LSCC
RPS18,-0.1379757640306748,0.18875899977488575,0.23386360931831462,LSCC
RPS19,-0.37784926577774935,1.201267457853873e-07,5.299135766922458e-07,LSCC
RPS19BP1,0.2791478447188409,0.040475178976091986,0.05899669819693719,LSCC
RPS2,0.03096961294290068,0.5894450762459391,0.6421102720617275,LSCC
RPS20,-0.2198239431448009,0.11263796728129255,0.14761214816103493,LSCC
RPS21,-0.11177256835959595,0.12883228262309107,0.16612813664347068,LSCC
RPS23,-0.09454720206584794,0.5112095846006395,0.5669508046124877,LSCC
RPS24,-0.18185181877876205,0.13305721970618228,0.17116999112692505,LSCC
RPS25,-0.31574915534478976,0.0319358176680665,0.04763449891883086,LSCC
RPS26,-0.1673425263134901,0.14315864897168978,0.18286618559043247,LSCC
RPS27,0.005984693933275914,0.9591037832802911,0.967827782691136,LSCC
RPS27L,0.4062761907234351,0.0026487877265194437,0.005049777069000984,LSCC
RPS28,-0.09490193960002502,0.5047764938328426,0.5605789555878162,LSCC
RPS29,-0.2938047940081422,0.029669871732326016,0.04466920530465758,LSCC
RPS3,-0.10372198557907436,0.37122268306788797,0.42770249966388063,LSCC
RPS3A,-0.17153096619273944,0.1776902471990487,0.22186007669973126,LSCC
RPS4X,-0.13768266681009378,0.2419549292950408,0.2922203040655102,LSCC
RPS4Y1,0.19988898426492785,0.012455395877614996,0.020381556890642718,LSCC
RPS5,-0.36080348334472717,0.0006197895069931078,0.0013565473444198976,LSCC
RPS6,-0.2856009655537767,0.02921909144326881,0.04406611227046169,LSCC
RPS6KA1,0.34910407878957306,1.2319145327777525e-07,5.415488693397423e-07,LSCC
RPS6KA2,0.16801699888133645,0.18862742804048127,0.23372597272507842,LSCC
RPS6KA3,0.5593301756667086,6.812907973346578e-14,5.976088070086945e-13,LSCC
RPS6KA4,0.376033003290438,0.004115594446559816,0.007531617034018701,LSCC
RPS6KA5,0.40677354494405343,7.617119045430502e-09,3.967437815903829e-08,LSCC
RPS6KA6,0.31375128998968005,0.38232277819528326,0.43885209663695157,LSCC
RPS6KB1,0.3386066466839933,0.005831300717684653,0.010301362815823107,LSCC
RPS6KB2,0.3989991911664028,7.099615472102497e-05,0.00018934520160699626,LSCC
RPS6KC1,0.4311369065034061,0.0033717613938784264,0.006276062800022934,LSCC
RPS7,-0.15796183586951174,0.0018489537583374442,0.0036524598044221763,LSCC
RPS8,0.029002000376187997,0.7673557647584138,0.8029583703853859,LSCC
RPS9,-0.13803628984666266,0.3126059390608771,0.36736267908173503,LSCC
RPSA,-0.05902522433663074,0.612317594670118,0.6637948504203844,LSCC
RPTN,0.7333205818822889,5.012105393791351e-06,1.6753997291724338e-05,LSCC
RPTOR,0.5472593546411966,0.00021844185237797153,0.0005282598896667538,LSCC
RPUSD1,0.261120772412277,0.1202259903513364,0.1562486051576644,LSCC
RPUSD2,0.7767984432118817,7.160272240270699e-24,1.264907535696118e-22,LSCC
RPUSD3,0.2721918313055737,0.046928156972068265,0.06740634734777588,LSCC
RPUSD4,0.14524540399133534,0.2572711956227208,0.3089203371681913,LSCC
RRAD,0.6344983141658636,3.383547835796563e-32,1.0296812773896101e-30,LSCC
RRAGA,-0.022329957531209144,0.8632276071406304,0.887411355075117,LSCC
RRAGB,0.11603821407208675,0.37996485344328157,0.43645283417158826,LSCC
RRAGC,0.2788008623095637,0.04332929275838498,0.06273457104271624,LSCC
RRAGD,0.11702390740042701,0.12069476768541398,0.15683997823114829,LSCC
RRAS,0.10956801650617431,4.865220908728843e-07,1.9338871825292077e-06,LSCC
RRAS2,0.45396751699024335,0.00023866469340228297,0.000572915751179397,LSCC
RRBP1,0.1904933848243307,0.03542098208490402,0.05227939052676211,LSCC
RREB1,0.1936340876544022,0.19118406541769528,0.23653431857618587,LSCC
RRM1,0.5598904435690522,6.170350415225527e-41,3.1435731668997197e-39,LSCC
RRM2,0.6748012276323946,1.4883579672670854e-65,5.856945214638613e-63,LSCC
RRM2B,0.2789463080414763,0.0011110491364494477,0.0022890941948295897,LSCC
RRN3,0.2863130994280271,0.05639882317423481,0.07957756800993665,LSCC
RRNAD1,0.21648137515875915,0.3337607726644848,0.38939537504733057,LSCC
RRP1,0.284203469021773,4.100883847598768e-15,4.024014313740081e-14,LSCC
RRP12,0.7359426321651532,2.2742583394016741e-07,9.594763833364845e-07,LSCC
RRP15,0.45876538876363226,0.00033451294140812346,0.0007784383538640916,LSCC
RRP1B,0.483236926484214,1.970403548580498e-20,2.810780662050081e-19,LSCC
RRP36,0.20331696469905655,0.0008322379102031519,0.0017689512071593163,LSCC
RRP7A,0.02158324484498972,0.8278453153833367,0.856127842243284,LSCC
