Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
A1BG,-0.3993099175667241,0.6834264181068459,0.3778490435000004,-0.462140423916277,0.004892636345592071,4.390185930383506e-05,0.006114430808807128,0.0017356869249475079,0.030269220572362903,0.00026693985294000373,0.005284138184776356,CCRCC
A1CF,0.009263703826892388,-0.28258660251146434,0.07321754151842437,-0.5634159438781383,0.24957447477457775,0.0019411138578561736,2.6641119006638544e-22,3.1485299566516776e-11,0.4839283036595976,0.0077145209807334665,3.3759750825525174e-10,CCRCC
A2M,-0.0017381376452615888,1.059763134086926,0.0017756520252859155,-0.8990057811152175,0.02525678620049594,4.061382093100645e-05,0.01024242431419284,1.4551828729132414e-05,0.10215401468777285,0.00024832385830112023,6.862382172392667e-05,CCRCC
A4GALT,-0.06901447572137286,1.1864989967105142,0.07495586749090474,-0.8243291019133924,0.5978911134376166,0.4198267194232407,0.4397209945119215,0.42796633899090253,0.7872821336627384,0.572699824070828,0.5581218371645714,CCRCC
AAAS,-0.005048034503795794,0.2534585738831334,0.008608606122039045,-0.1484757000757959,0.4906335804972388,0.03826193539341816,0.20008653118003303,0.1786438238974955,0.7126270848085556,0.09416539585604754,0.2857311321568428,CCRCC
AACS,-0.042658328822860754,0.3139238995699298,0.1052367991697111,-0.7822157117277688,0.014550339772764535,0.03909141784609248,1.7237580610819838e-10,1.084900092551166e-07,0.06780062742882506,0.09567951683199336,7.391471500120335e-07,CCRCC
AADAC,6.210388816785527,-0.17535308174974407,-6.194027298969749,0.23197926871291988,0.7003655755063174,0.5383629423186351,0.7011017953461108,0.36087655072421604,0.851515483836827,0.6806426378061267,0.4921003089127207,CCRCC
AADAT,-0.25298541008768766,-0.6234878909940028,0.4390383888774039,-0.8072218902580289,0.07419056581930222,0.10872211950123901,3.566189337209831e-05,0.019372908585151432,0.21841017618677566,0.21530473529682084,0.04444706845231668,CCRCC
AAED1,0.015588435547191649,0.36162120354509375,-0.012779194882309526,-0.08999145633332713,0.7732447139479643,0.21265734747150958,0.8009271354724754,0.6988872509257094,0.8923431107096498,0.3531625199719892,0.7899118243590012,CCRCC
AAGAB,0.013873863978623165,-0.17382191197568359,0.012344751498794621,-0.15419257630405506,0.06414745743973256,0.21658147540427808,0.08100254152236633,0.2581991370243547,0.19742801926386827,0.35756806196711716,0.3816448368171603,CCRCC
AAK1,0.05306218743861789,-0.4553780667562692,0.03298447605512803,-0.009979517548918912,0.0006759286728111813,1.91340938636755e-05,0.007378149555889812,0.9151832065883408,0.006331564143523355,0.0001262827169618872,0.9467739878399991,CCRCC
AAMP,0.012600698898760285,-0.24229875336393863,0.006251006632517603,-0.40330108939244147,0.002274657263473091,0.19376829736192594,0.09552911629458992,0.018394532149480853,0.016746643895028408,0.33039708592615663,0.04251361633958185,CCRCC
AAR2,0.010331450943912369,0.13664281734615444,0.016491543831591706,-0.23041247349315852,0.5387138419798552,0.401190441333498,0.2971765988200286,0.127394694875634,0.7461982209409523,0.5537508432096565,0.21691903261267145,CCRCC
AARS,-0.00048435436895205445,0.23641462306924094,0.007242841843347683,-0.4144751965763786,0.8922355936576992,0.13561148386564378,0.04172469850129831,0.00856680104798085,0.9554751759085525,0.25375680083968727,0.02201716042532848,CCRCC
AARS2,-0.08384969440872983,0.458318519067223,0.15250733884581255,-1.0350451099313862,0.003944037759312563,0.038289322430960594,3.2018743413983784e-08,3.5421025696683355e-07,0.025598905433076632,0.09419053100363461,2.217655427322601e-06,CCRCC
AARSD1,0.025279427800974585,-0.17725746593311825,0.014790226849889338,-0.25078537268148726,0.03038858881077129,0.3227509518192766,0.16894918521924648,0.12917866210057422,0.11654980093194067,0.47680204585934616,0.21943958963679716,CCRCC
AASDH,-0.47432565328730797,3.9609705172621577,0.32779527770276906,-3.2897598589932318,0.03348091423495502,0.04047850300128151,0.0910166996014148,0.05738634309207302,0.12568519789295743,0.09836258294662314,0.11228519396663379,CCRCC
AASDHPPT,-0.012115535071280976,0.20331117944371205,0.033995844997342595,-0.5092576642193272,0.06371616273085463,0.07984239883560368,1.6223824449212026e-08,8.904780487000912e-07,0.1965970714471855,0.1693659394368085,5.217763737281678e-06,CCRCC
AASS,-0.007695530993635,-0.8635681586394287,0.02686227047039075,-0.35840093887711516,0.25109651831983665,3.9412687458712304e-07,1.7995250389939018e-12,0.010651775851748617,0.4855919798043527,3.5817545048435397e-06,0.02659670596809255,CCRCC
AATF,-0.019651999575522307,0.6758163908626098,0.030245727854284435,-0.7272194677539048,0.09369439599000493,0.00215760138326712,0.00841988620049747,0.0005223981158063858,0.25527417526437257,0.008452403418948944,0.00179012337778202,CCRCC
ABAT,0.011289777722446277,-1.121989021054453,0.017788584743182855,-0.5525870065225605,0.08648626142644879,7.958543262320318e-16,5.599980750044871e-24,3.696264524417814e-06,0.2412071705025977,2.0785062153426565e-14,1.950184010021116e-05,CCRCC
ABCA1,-0.004865695148729957,0.42762757980070076,0.011258561081345049,-0.5915796911523846,0.7950185296876355,0.17498122078275266,0.5444456773826802,0.0403880646306418,0.9044047921694458,0.3066574549873804,0.08360382731336287,CCRCC
ABCA12,0.19972968022774815,0.21125972726256365,-0.2066868556088936,-0.0921303463809868,0.5600885742243897,0.1770794777789243,0.5456211889485068,0.4593909018023068,0.7603953204361872,0.30929694136258296,0.5875130599957437,CCRCC
ABCA2,-0.014059502713898284,-0.00938592294147798,0.03554272428116416,-0.07565428207689415,0.4777288535274302,0.9434001720141882,0.05234429730549631,0.5314093339206423,0.7027601303970421,0.9664851486713021,0.6529682680008104,CCRCC
ABCA3,-0.3630502408976956,1.3214517717954606,0.38274497036998717,-1.43711190474568,0.0018085727906745552,0.006404907973911093,0.001077960957250214,0.0027923240441872768,0.01404974145956742,0.02152148113081633,0.008090069318724311,CCRCC
ABCA5,-0.019442445735506478,0.2571657151392271,0.040027087455862385,-0.5529387582645584,0.6699446824946205,0.6596761949480511,0.31502191931077095,0.29994683274215206,0.8345966180901183,0.7771440427865076,0.42655337034062174,CCRCC
ABCA6,-0.04047908006172047,0.17329146581557325,0.09421982888019603,-0.5792354047482152,0.46038946185810514,0.715096232351585,0.08989242936272455,0.21890263447113434,0.6893273282994207,0.8187777215724985,0.33568334929594196,CCRCC
ABCA8,-0.0032945552685565115,-0.24382699534117014,0.051439902228108285,-0.29889793547518784,0.8485065625726043,0.17984879996176967,9.846093122122316e-05,0.08619412505449968,0.9323117785093555,0.31313674393343677,0.15760349353605715,CCRCC
ABCB1,-0.0059864195780711775,-0.18876624483751164,0.03152080875502884,-0.9181318844782147,0.1567440653834758,0.2841399495316091,2.3755741817833447e-16,1.965006984849526e-07,0.3601880959889823,0.43384341681684574,1.2799383382906443e-06,CCRCC
ABCB10,-0.20326714620293176,1.4979901458251785,0.28389828256769445,-2.0639742673874295,1.6383653848397306e-05,1.0379920304482026e-05,3.5938659720966703e-10,9.660681385016983e-11,0.00027949035624116647,7.174375918075825e-05,9.820946627641453e-10,CCRCC
ABCB5,-72.26592621454105,1.2692120015586856,72.51292751375523,-1.2303269300225033,0.07393823106126497,0.2652966206354154,0.07305878501437406,0.24108698927992708,0.21784272267284865,0.4133101515578412,0.36210915862132276,CCRCC
ABCB6,-0.059567609242355254,0.88808227637232,0.10783599151732319,-1.3512887235546152,0.005836460466114455,2.69317598439683e-06,6.976876665639644e-07,1.8708966756756387e-13,0.03464293011515664,2.114634743940503e-05,2.6175849024854696e-12,CCRCC
ABCB7,-0.05550655271519054,1.2032196392812313,0.09768436056084824,-1.7915950623008623,0.11954948200913991,0.05201015049621042,0.003952740311032863,0.0022240456378638347,0.30104291706141256,0.11995360403551977,0.0066112619516879145,CCRCC
ABCB8,-0.15821912848505565,0.4215610367348342,0.28098772492862034,-1.3664318715939323,5.0974588581762074e-05,0.07552766147280347,6.175507455468479e-14,7.407674070826822e-09,0.0007495177776854533,0.16168284908180744,5.89229709085565e-08,CCRCC
ABCB9,1.5822458081808426,-1.651642583244934,-1.4950126544084135,1.7763929282454944,0.1546628430260009,0.18951771378296023,0.17654935539417668,0.15394086508482258,0.35738292082414236,0.32552768595134524,0.25337261016067514,CCRCC
ABCC1,0.011880020824562961,0.5280126502529356,0.009552422781881583,-0.574033217889942,0.3645784673531923,2.7068756385132883e-07,0.45436652785762344,4.996854167218724e-10,0.6039965576796809,2.533423112530056e-06,4.644957064425609e-09,CCRCC
ABCC10,0.037257233668049734,-0.07600065541584214,0.01655703441035866,-0.2339288344731758,0.7705596665431131,0.8827775772256593,0.8792911224167266,0.6154937560170199,0.8905686591001134,0.929824010427142,0.7234623885287925,CCRCC
