Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
A1BG,-0.005621377742532035,-3.138191751761857,-0.0698474956997143,1.9827545815127643,0.9837666980841135,6.692320347219538e-14,0.7854612291907325,6.67021134035188e-08,0.9906523764028705,3.786424618924043e-12,6.751326473234552e-07,LUAD
A2M,-0.7324729815685269,4.320106808375722,1.3712963041007216,-11.64711542661222,0.12861448532769265,0.3732341271332117,0.0029171947230322115,0.013472500900094433,0.24106857424045458,0.4968068853236287,0.0391238629079732,LUAD
AAAS,0.3098589828045592,-1.0680182194239456,0.07744015339345421,-0.282064610526283,0.2680186000391487,0.304497050482342,0.7513657495382859,0.752443948475882,0.41513616133409204,0.42686383566365066,0.8430127804986671,LUAD
AACS,1.7600473881731062,-3.6636866643914567,0.27304140345966843,-2.546285178868433,1.097822037186981e-06,0.0001523813075010661,0.39926792463185257,0.0025897063867259345,1.8581791153798463e-05,0.0008734389003091842,0.009659604822487735,LUAD
AADAC,-0.7163769385780298,0.33223364875033967,1.6165168402172554,-1.8772893621111963,0.0002109454012993184,0.3779690954878847,9.359109764496483e-18,3.903904537400446e-08,0.0014661360500244553,0.5013865596230883,4.1648540885762595e-07,LUAD
AADAT,1.2093101896929885,-3.3443051915299953,-0.16401490978532554,0.9207512643461792,0.05304743861277867,0.001167718569836023,0.7768952430316604,0.30669186273669347,0.12264480125557714,0.004851523810568724,0.45927688859569377,LUAD
AAED1,0.01257155404856945,-1.4997482580143824,0.28331919598482735,0.35202048328959196,0.9805556490574806,0.3549935913188823,0.5279778293058204,0.8115552451656792,0.9891096857241402,0.4789845201195691,0.8806349395607752,LUAD
AAGAB,0.961955257322773,-3.242561500763367,0.24789552320540614,-1.414660120048572,0.03551712230116557,0.06190786523321092,0.5651063769828637,0.38252704988969644,0.08894686907829642,0.12333810301951874,0.5370737375490218,LUAD
AAMDC,-1.2241196035598905,4.690164294184398,3.3264533587176595,-11.322799503097931,0.047109170032424784,0.03237341372206384,5.5232185728221946e-09,6.418789073006714e-08,0.11168466369975283,0.07290533309367284,6.516494430872038e-07,LUAD
AAMP,1.529969133207474,-7.54076870061923,-0.2154639703761067,0.7640847800546722,0.009628707527861264,0.012166549476500333,0.69322923196608,0.7814343935583796,0.03173478410153003,0.033071341370535724,0.8616840283678507,LUAD
AAR2,0.9304418014070859,-3.024118021688067,0.18874110959113521,-0.6327006390617054,0.008994236079303377,0.01105707074824892,0.5602201129465818,0.5574635402335912,0.030153445923656565,0.030636744134146233,0.7002443089380921,LUAD
AARS,0.9388206480277149,-4.185338951616379,0.7451289805734418,-4.620973125008399,0.00029367766090863007,0.0009408404024167819,0.0028128751970190645,0.00014351714390409856,0.0019293070600201001,0.004071853757086124,0.0007431162757111447,LUAD
