Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
A1BG,-0.3669292380017931,2.448691310785719,0.45907894471388266,25.486385945406308,0.015477076669887934,0.015572461373184082,0.000849483565208719,1.0219901164585235e-62,0.12809907706002913,0.1283964707338021,2.136408784558516e-61,PDAC
A1CF,-0.3442511727527489,2.703630247711858,0.608336540974625,18.421080175747576,0.010941639686657246,0.03649790522812321,6.900292529546784e-06,4.4664667516149475e-31,0.10411038902840754,0.20787391484851536,2.1693416701646478e-30,PDAC
A2M,-0.283009821543796,4.515717632590016,0.6922534275764173,18.99414449108104,0.3554087802392788,0.34680834632543245,0.018971621097423216,5.7312404346155926e-05,0.6551552993553159,0.6499180111247684,7.358737718338493e-05,PDAC
A2ML1,0.32519866275632037,-1.448452764339098,-0.019427846734027535,21.226899465188467,0.025019953847649132,0.0043463764463487495,0.8911477861126966,3.3418612284039677e-80,0.16771499412406377,0.06085388656391837,1.3482128712228997e-78,PDAC
AAAS,0.18137782974534813,-1.5894488321974771,-0.20546766505132102,24.538527047213314,0.5836306011697159,0.622049799464612,0.5179207155817258,3.6880146828563173e-13,0.8135704912136305,0.8360845063831903,7.233775480385381e-13,PDAC
AACS,0.5173248601788365,-4.849927108222531,0.2161297138082629,21.702445127208293,0.02177036651714001,0.029550486617241,0.3133532689043257,3.245254054931494e-19,0.15475644807015068,0.185462382426117,8.795330337770457e-19,PDAC
AADAC,-0.07044884049901909,-0.05429415978246961,0.3434862670347965,19.62593673927725,0.5690395748577414,0.9565513233789396,0.003271390724395311,1.0874155610749644e-43,0.8047225031586711,0.9824497586534897,9.564532847331122e-43,PDAC
AAGAB,-0.12765789000492248,1.3731776033133114,0.5051888022835223,18.397161037313833,0.7241196008199389,0.717058924993315,0.15155395679054812,1.4355019415688944e-06,0.8911924198960339,0.8845630272709271,2.0023402305655426e-06,PDAC
AAK1,0.12140232558266019,-1.5325662871107721,-0.004666381689699778,24.845196043784846,0.3013167909563464,0.2867064135523476,0.9658516818000821,1.7503945202920578e-41,0.6075795786657572,0.5949699262936369,1.405070726163955e-40,PDAC
AAMDC,0.3739454710788572,-2.900846320160578,-0.048550190707260125,25.853679108364627,0.41460185916506564,0.4473870419462327,0.9137170521317414,9.890191989159167e-11,0.7026217747249229,0.7263925856461855,1.7106386492244453e-10,PDAC
AAMP,0.5133150068164435,-5.8036873076977615,-0.34647944139746084,28.624548929437868,0.04925703377417695,0.051363559414114586,0.16513736873773777,8.389069164386745e-19,0.2437877547546748,0.24856941723444453,2.2250774666239757e-18,PDAC
AAR2,-0.5666387556787676,5.747925700608072,0.7699191772875155,14.449455549711661,0.4005180244882782,0.3949902340418706,0.23975009364960007,0.028670478550813967,0.6913267385112639,0.6884151488569697,0.03189401119210919,PDAC
AARS,-0.1949761295907427,2.3011055189273484,0.5325398233470664,21.704270076347456,0.14802992442469615,0.1600734329836809,1.6813616694361098e-05,9.572385041165705e-32,0.4350282786100363,0.45035585249886345,4.820584323125963e-31,PDAC
AARS2,-0.18591655687932934,1.7315201987315216,0.660202893650432,17.518547584536655,0.5104738113337841,0.5398310256527965,0.01724445095917114,1.8282004110772964e-09,0.7703823388602932,0.7898785604205064,2.9585131874345886e-09,PDAC
AARSD1,0.10197215072849787,-1.1687415217187676,0.1598125307274468,22.937988436323337,0.8496375496030902,0.8125529237598104,0.7613408621455515,4.315852592469871e-06,0.9458142214595158,0.9271176284143191,5.863702795261973e-06,PDAC
AASDHPPT,-0.09592410292135818,1.1487967285112093,0.3891684666243467,20.22748332981097,0.6500384654284113,0.6025880905442447,0.04028332081761783,3.082575474445423e-19,0.8514710034700521,0.8244394436140943,8.362728948414841e-19,PDAC
AASS,0.18551730762202037,-2.5067753110728463,0.20732239319710027,22.063808705370523,0.19127407221381063,0.12004569399097663,0.11600771945767328,1.8753613851858755e-31,0.48932724033745184,0.39083475680200636,9.29434543256445e-31,PDAC
AATF,0.2273535703728431,-2.3479557576491366,0.07450017647100843,23.183156850588944,0.808219544504132,0.806661889779853,0.9357041810530913,0.015191834068720574,0.9273996935415276,0.9246418998703222,0.017181371870623983,PDAC
AATK,-1.0612181345512943,8.890377972940986,1.2608270709167126,6.269228209896299,0.11243779951034802,0.13032568386378182,0.05784229620865878,0.27787628570166933,0.3796425145295352,0.4079160325458708,0.289998227527334,PDAC
ABAT,-0.49255178334385813,5.331465444623724,0.8160626623652096,18.23195486510968,0.0007088732697619986,0.001204411053735142,3.3912191176321562e-09,4.026466688728842e-24,0.02152648830244283,0.02825713744739551,1.3917597315166753e-23,PDAC
ABCA1,0.41921163650110577,-5.589548779456552,-0.14361093446817838,24.44221356938953,0.3057175509273984,0.28927073287093025,0.716321167348523,4.939069797679858e-06,0.6119388473616343,0.5967123772243145,6.697947171673764e-06,PDAC
ABCA12,0.25526137100724283,-1.8122117595643208,-0.17941810072784395,21.177425014288456,0.07376773229830016,0.027565382732383202,0.17710657081565545,2.719482444503827e-50,0.3011585575867497,0.17938829131734854,3.299900284768073e-49,PDAC
ABCA2,1.4855025824764736,-15.981982885724538,-1.193644198135568,30.553508425173593,0.0035858500502095668,0.0031229282541501645,0.010880625986710734,3.033443479881585e-07,0.05423867618360318,0.04978360878523325,4.390341218631899e-07,PDAC
ABCA6,0.11053767308663502,-1.5176734809317705,0.29555342459042216,17.759895848457003,0.5416992726588505,0.45621780615489904,0.0866131606152435,1.0798407791374308e-15,0.7891719232445575,0.7323234127978739,2.432200090298626e-15,PDAC
ABCA7,1.7549041837729968,-17.51889520535095,-1.574763167699458,32.79602297761442,0.006151438877246128,0.005397145305453905,0.011076198400514988,1.2728627573225782e-05,0.07473729162328328,0.06992473129920232,1.6900909067048517e-05,PDAC
ABCA8,-0.07235478215599295,0.2597509002906529,0.4039468489845888,19.06248725996356,0.571805252243218,0.8577198799068895,0.0012296778155636249,2.5687675348660478e-28,0.8060271818946754,0.9469303692842596,1.0868550874106232e-27,PDAC
ABCB1,-0.12650984964086526,1.2056128780508493,0.7073614258527016,15.625341147906875,0.46915636462669985,0.5072443566291142,3.971419073468361e-05,2.4028498844470203e-15,0.7407981707775432,0.7683156762297181,5.324353017158345e-15,PDAC
ABCB10,0.9752919645311847,-9.524837811460767,-0.8332300163174441,30.168770636682268,0.011983807198900747,0.01192415282210533,0.02169031178631305,1.1969793103412444e-14,0.11008711008639836,0.11010706317911957,2.548505316448067e-14,PDAC
