gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
A1BG,hnscc,-0.03306754721656367,-1.097053203129373,0.08004757380176873,28.52371088508203,0.8481052797345866,0.11688560563180211,0.5002681368786225,1.0713051991540345e-106
A2M,hnscc,-0.19318258929644969,1.3593829060968645,0.3332383096889676,25.555446445586984,0.3167388751645061,0.6495643579151896,0.015943687669834235,4.675327681468905e-32
A2ML1,hnscc,-0.05973381947058601,0.36285593239283404,0.47472635277481084,21.147735017319942,0.5291204324358882,0.8229353147408588,6.832359061067187e-13,4.475275863052112e-51
AAAS,hnscc,0.3790989461760087,-3.632893877714593,-0.22588823657658785,26.41365762751076,0.1508759872262975,0.16768413157230008,0.34015177760129883,8.657053269404677e-30
AACS,hnscc,-0.11581975479262382,1.350959024751469,0.7929736523295472,16.697872847710006,0.5663798117901635,0.523510770986053,3.595584467343294e-09,3.471203380751388e-26
AADAC,hnscc,-0.2968569459643973,2.253258222159024,0.5573182335060844,17.8191749138832,0.003224015661911558,0.007540805454908466,1.7258162044447057e-11,4.2237486665689534e-58
AAED1,hnscc,-0.6650336255504926,4.543713657438638,0.8663598777778692,12.387151642211979,0.12742077075215377,0.20175633876859708,0.010487921228841079,4.885099930057578e-07
AAGAB,hnscc,0.18812410540306881,-2.1282912014289703,0.3440068696054271,20.75606557050701,0.5807656570828016,0.5556128306069578,0.18733295506608882,5.233449935688335e-16
AAK1,hnscc,0.39099330640140206,-4.351420134186061,-0.0033515147816118316,24.382646867962535,0.0023971692021317282,0.003977906293464757,0.9821495403357029,3.5446633818908615e-47
AAMDC,hnscc,-0.7092778143642235,5.283771676128792,1.1041259884384436,16.345038493580986,0.006862221995187601,0.01589766647403458,3.7921900565267956e-07,1.3270485307132555e-18
AAMP,hnscc,0.3494213832530621,-3.7549750339516135,0.33633024840881987,20.542930936747666,0.1290148151378097,0.16146066736493644,0.07857203654332888,5.266978371144347e-21
AAR2,hnscc,0.0772078841105129,-0.7065798500258704,0.32500675698364634,20.65031918339045,0.8705418801458229,0.8814513288996071,0.3260469671307084,2.5035422287279474e-13
AARS,hnscc,0.058123916170978,-0.758877253535495,0.5027021086541613,21.174618518947526,0.7017178930841116,0.6626711344572369,5.098312937983962e-08,1.7748752099594185e-48
AARS2,hnscc,0.45821691505746287,-4.747947786510851,0.024957370834386868,23.91102681025938,0.006845150710162444,0.0064573581107252725,0.8931504081827146,2.7434867842787195e-41
AARSD1,hnscc,0.3040245993366251,-3.059194628137848,0.1376235940429368,23.51576182055575,0.24986994818820302,0.20292336412117246,0.5785034895068647,4.443890308481282e-29
AASDH,hnscc,-0.24962598207389614,1.578853854402861,0.32242766113511806,18.807647631849587,0.8347126549421614,0.8979096254879934,0.7411888873058793,0.006120854467816793
AASDHPPT,hnscc,0.5154278732076805,-5.294109063239647,0.11694638059911629,23.684425906439728,0.0005328418231081329,0.0006580064078230522,0.4384238401562073,4.64665427300762e-43
AASS,hnscc,0.5933108741126337,-6.8956414426037425,0.2597005361892689,21.861707044241403,0.041496268272733734,0.033315606458039715,0.35959548497819255,2.0752342521576876e-15
AATF,hnscc,-0.17796243275490964,1.8833429735036835,0.32430201845966056,19.66360593031881,0.7582874667409195,0.7466121754456512,0.45922805895213387,5.1856112713973455e-08
ABAT,hnscc,0.06044423701989409,-0.5745517161551135,0.6145782157960276,18.14288402162554,0.6793748781391485,0.683403017366437,2.761261614197814e-11,3.2544841568144067e-49
ABCA1,hnscc,-0.23958576053492672,2.257834617272589,0.2961191567304401,19.44424191783099,0.4322987526682019,0.5740731358915488,0.18936595670013104,2.04623471553899e-14
ABCA12,hnscc,0.17438718086547084,-1.8588384869713388,0.24375585807349698,17.758663955154894,0.017530499267302418,0.013424525636135307,1.609166998426537e-05,1.5337178856009302e-73
ABCA2,hnscc,-0.4490442423694028,3.916222396769666,0.37748276408565035,15.673778194558418,0.0071836668476957756,0.013027707927383482,0.0023366773909095488,2.450165837680269e-21
ABCA3,hnscc,0.10575876213116316,-1.0627745460566234,-0.013481642939383549,18.651994530647965,0.8119621501133496,0.7559720066515881,0.9724701724697787,1.4119897633362322e-09
ABCA6,hnscc,-0.15853432400260709,1.7201472483025344,0.3071307857093772,21.146867799065948,0.5425381308806894,0.5580462208599057,0.10456731165023705,1.3487355277833793e-20
ABCA8,hnscc,-0.19496610576690604,1.5963043023169627,0.4122815574308861,19.134425002549357,0.11389291144421385,0.3157849427739058,4.545292708227998e-05,1.020992244423734e-36
ABCB1,hnscc,-0.39609484154735836,3.3462584916864184,0.3724337278056619,17.870775819186207,0.34244740132619217,0.36505548900061746,0.2964414207031073,8.9298623321119e-11
ABCB10,hnscc,0.23367215522317683,-2.634903088432867,0.09882792066330197,22.015451992170075,0.6292755489329038,0.5683629126557056,0.8232846886334971,5.783420606402167e-12
