gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
MRPS23,en,1.4086964543800227,-13.232032934542968,-1.2735426744281588,12.022378043781485,0.2241530424053647,0.24122730715650953,0.5261115191070512,0.5312028996208764
MRPS24,en,0.6379909637443116,-6.000535789988752,-0.4382438234203062,4.11056829998766,0.8372129499430577,0.8304238463343319,0.9992021033216063,0.9993849095097266
MRPS25,en,0.22048452800059126,-2.008665766870823,0.12356286266926625,-1.7408441392652254,0.8798763240321634,0.9022479887851382,0.9992021033216063,0.9993849095097266
MRPS26,en,0.17872882799778825,-1.466423787313295,0.17135509604277285,-2.0363458591366674,0.9120943682260356,0.9225843764439459,0.9992021033216063,0.9993849095097266
MRPS27,en,-0.34749886823253473,4.633739411005835,0.672197867298573,-8.138086907582887,0.8715624020084732,0.8285517268843788,0.966805450818341,0.9324084598075427
MRPS28,en,0.6539632787683407,-5.156795438751945,-0.4907788309904222,3.8736275414169965,0.6329867464865714,0.6538605338450609,0.9774892481643157,0.9756223919692787
MRPS30,en,-0.3835067441589817,4.25608278824539,0.6566001358174044,-6.8713354896807335,0.8571108996477731,0.8243279460457383,0.9683667232425596,0.9368459500050279
MRPS31,en,0.44039173290874445,-3.6505102839222934,-0.13280929930094887,0.7957642497157125,0.8018437855352194,0.8247317014908339,0.9992021033216063,0.9993849095097266
MRPS33,en,0.3229216323333057,-2.1923261397219993,-0.2745572963563364,1.8804280569062917,0.8537755128489851,0.895531423416387,0.9992021033216063,0.9993849095097266
MRPS34,en,0.06894764286846791,-0.0019244173681885381,0.1763162168306778,-2.380297411413085,0.9687522735543628,0.999867600864037,0.9992021033216063,0.9993849095097266
MRPS35,en,1.1250458354912216,-11.21554510591336,-0.8647081983641953,8.532276016965127,0.3089104318948456,0.3125504549390092,0.7693736780123213,0.7854159809370572
MRPS36,en,0.7180591084136585,-6.327566643898613,-0.6852800471982393,6.04496351113899,0.46811073379424156,0.45884684442347196,0.7779185444438026,0.7733488773270282
MRPS5,en,1.0530643218898346,-10.009768775883833,-0.7624345910218097,7.1164947672822905,0.7253538021751135,0.7452438664388139,0.9992021033216063,0.9989506883440724
MRPS6,en,0.12247843639470288,-0.7837759862881273,0.18952637162778593,-2.1488558047895263,0.9014861149645893,0.9357407394167037,0.9992021033216063,0.9842385851356356
MRPS7,en,1.2370081541894147,-11.909951757210871,-1.0777955271564659,10.391337288908323,0.5050058196607389,0.5097986338823721,0.8682445289791901,0.8795685772552146
MRPS9,en,0.33042885287057044,-2.834492876978733,-0.026156455592072646,-0.079688990543086,0.8715624020084732,0.8866479058452218,0.9993552080124365,0.9993849095097266
MRRF,en,-1.0590397868274246,10.774929913996209,1.6221870690976377,-16.54865462693472,0.7000813487140873,0.6749495350465057,0.7649308612432298,0.7280529598751548
MRTFA,en,0.31534643890021685,-3.2044391096077,-0.029309405227301976,0.3759195089072676,0.20794783399086764,0.17430615925976528,0.9992021033216063,0.9993849095097266
MRTFB,en,-0.0015510019464837679,0.2963761722538525,0.4083830369556279,-4.9930073307081315,0.9988033884110317,0.9761061018974081,0.5441763716456922,0.49876535602954014
MRTO4,en,0.4514988443007786,-4.3575377825702555,0.1476498419410922,-1.6470437100927728,0.20246730436845464,0.21220793951726455,0.998625617084758,0.9672848588908258
