,gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
0,A1BG,hnscc,-0.03306754721656432,-1.0970532031293692,0.08004757380176931,28.52371088508202,0.8456023049832045,0.11404531810703158,0.49357535944114334,1.0303978658909042e-106
1,A2M,hnscc,-0.1931825892964498,1.359382906096867,0.333238309688968,25.555446445586977,0.3116864253181381,0.6465355319884497,0.015462985366133681,4.5156098607441346e-32
2,A2ML1,hnscc,-0.05973381947058633,0.3628559323928385,0.47472635277481123,21.147735017319935,0.5238408782960662,0.820817053759818,6.571468337018313e-13,4.307783986974783e-51
3,AAAS,hnscc,0.3790989461760093,-3.632893877714599,-0.22588823657658924,26.413657627510773,0.1472961354848218,0.16381092264533897,0.33379292281239087,8.372719951712182e-30
4,AACS,hnscc,-0.11581975479262398,1.350959024751471,0.7929736523295478,16.697872847709995,0.5614517753150368,0.5188919285743805,3.461750354485712e-09,3.360859163939524e-26
5,AADAC,hnscc,-0.2968569459643973,2.253258222159025,0.5573182335060848,17.819174913883195,0.00311317667199794,0.00728095310355589,1.6599166468938625e-11,4.0624666206501276e-58
6,AAED1,hnscc,-0.6650336255504942,4.5437136574386505,0.8663598777778714,12.38715164221196,0.12439738437536439,0.19780641685803882,0.010162358316030767,4.803445378930852e-07
7,AAGAB,hnscc,0.18812410540306718,-2.128291201428953,0.3440068696054287,20.75606557050699,0.5764493574484069,0.5513971552907023,0.18315453886652028,5.095986464640941e-16
8,AAK1,hnscc,0.3909933064014017,-4.351420134186058,-0.0033515147816118316,24.382646867962546,0.0023131690686453393,0.0038400007075900236,0.9819587550176474,3.412762639229345e-47
9,AAMDC,hnscc,-0.7092778143642243,5.2837716761288,1.1041259884384447,16.345038493580972,0.006621672468005715,0.015364982524997104,3.6553564196114157e-07,1.2903487753176228e-18
10,AAMP,hnscc,0.34942138325306127,-3.754975033951602,0.33633024840882236,20.54293093674763,0.12594539658707976,0.157731366126461,0.07647647461079776,5.112477161648985e-21
11,AAR2,hnscc,0.07720788411051571,-0.7065798500258987,0.3250067569836448,20.650319183390472,0.8684658733506173,0.8803616706527156,0.3198393982856321,2.443023960198073e-13
12,AARS,hnscc,0.05812391617097864,-0.7588772535355028,0.5027021086541605,21.17461851894753,0.697943726528434,0.659654070399598,4.9119332119080244e-08,1.708917777722905e-48
13,AARS2,hnscc,0.45821691505746237,-4.747947786510847,0.024957370834386403,23.911026810259386,0.006605217052345358,0.0062358301329381955,0.8908690302343972,2.6437912570946686e-41
14,AARSD1,hnscc,0.304024599336629,-3.0591946281378846,0.13762359404293312,23.515761820555777,0.2449948395802026,0.19894070091673138,0.5723594927635545,4.298184196883288e-29
15,AASDH,hnscc,-0.24962598207389458,1.5788538544028454,0.32242766113511645,18.8076476318496,0.8318357616066877,0.8968861969509936,0.7370289824532323,0.006084121551060087
16,AASDHPPT,hnscc,0.5154278732076788,-5.294109063239629,0.11694638059911704,23.68442590643972,0.0005133154775559234,0.000633792644939908,0.4315902772750715,4.475712176512498e-43
17,AASS,hnscc,0.5933108741126351,-6.895641442603759,0.25970053618926703,21.861707044241424,0.04021655764566916,0.03228818755319829,0.35303796996910763,2.0218914343391195e-15
18,AATF,hnscc,-0.17796243275490878,1.8833429735036749,0.3243020184596588,19.66360593031883,0.7544788849810923,0.7436083001865845,0.4525098399386342,5.087439745719567e-08
19,ABAT,hnscc,0.06044423701989393,-0.5745517161551115,0.614578215796028,18.142884021625534,0.6751540098804506,0.6799262503494969,2.6558240141860162e-11,3.133632815917627e-49
20,ABCA1,hnscc,-0.23958576053492658,2.2578346172725876,0.2961191567304395,19.444241917830997,0.42704252320333036,0.5700969533390046,0.18513437612727893,1.9947977349255334e-14
21,ABCA12,hnscc,0.1743871808654711,-1.8588384869713412,0.24375585807349695,17.758663955154894,0.016962677530143203,0.012970040215899,1.5520328435244334e-05,1.475153520630403e-73
22,ABCA6,hnscc,-0.1585343240026081,1.720147248302546,0.30713078570937824,21.146867799065934,0.5372776917152376,0.5539883387001279,0.10193223797822117,1.3094152423547221e-20
23,ABCA8,hnscc,-0.1949661057669057,1.5963043023169592,0.41228155743088574,19.134425002549364,0.11104316100253907,0.3110802773908263,4.385061093043676e-05,9.838515324315552e-37
24,ABCB1,hnscc,-0.39609484154735886,3.3462584916864224,0.37243372780566264,17.870775819186196,0.3368596919778023,0.36037257974168985,0.29074817188656,8.730405671068736e-11
