Gene,Delta_Correlation,P_Value,FDR,Cancer,Significant
A1BG,-0.1980131264010687,0.2451044221389208,0.404511478202531,HNSCC,False
A2M,-0.1183838457953792,0.4480278226253976,0.6091129689450547,HNSCC,False
A2ML1,-0.0234694659596363,0.2918124980149446,0.4561967747101217,HNSCC,False
AAAS,0.275904589548102,0.1051755656340209,0.2209071970844221,HNSCC,False
AACS,-0.1368360860562695,0.1800585676900976,0.3266475323882006,HNSCC,False
AADAC,-0.5384280988784158,2.1015712432713905e-06,3.348778229474281e-05,HNSCC,True
AAGAB,0.2103812310037736,0.1461360505278056,0.2797092766922789,HNSCC,False
AAK1,0.0607639846958326,0.5530453742926481,0.7011896062893751,HNSCC,False
AAMDC,-0.0175415645599131,0.784721812151938,0.8752644324815159,HNSCC,False
AAMP,0.2500584164869879,0.0629660255196078,0.1504274083457167,HNSCC,False
AAR2,0.1165714948152693,0.4714350961452963,0.6314290698542686,HNSCC,False
AARS2,0.3285006350668211,0.0149713290455181,0.0518099364272155,HNSCC,False
AARSD1,-0.0506465774057779,0.8051646047786079,0.8892377221527465,HNSCC,False
AASDH,0.1731855575329711,0.4442302788859832,0.6052696318919024,HNSCC,False
AASDHPPT,0.8333256846231945,3.804959145939489e-13,2.248846157042539e-11,HNSCC,True
AASS,0.2732000881411104,7.531252355967456e-05,0.000726456705988,HNSCC,True
AATF,0.0538768816815999,0.7574509612680103,0.855513470272074,HNSCC,False
ABAT,0.1349375927816294,0.0024474464374089,0.0125026179453179,HNSCC,False
ABCA1,-0.1526243298743712,0.4235232282226077,0.5865732607857385,HNSCC,False
ABCA10,-0.2473241928350287,0.4197724957154635,0.5833120467955089,HNSCC,False
ABCA12,0.3542465706161642,8.862597044851703e-06,0.0001172700765012,HNSCC,True
ABCA2,-0.4640130622578648,0.1063531600328662,0.2225656688069767,HNSCC,False
ABCA6,-0.1402868024819245,0.2497484430890542,0.4096109682146748,HNSCC,False
ABCA8,0.1272918160794962,0.0163672267023768,0.0554020113854837,HNSCC,False
ABCB1,0.1964232015923509,0.305979277244215,0.471168468606598,HNSCC,False
ABCB10,0.3701307027324167,0.0448542146800435,0.1169880453489662,HNSCC,False
ABCB6,0.2819259959692463,0.0176699732670361,0.0586614539014224,HNSCC,False
ABCB7,0.3593043591667445,0.0155147270404654,0.0532237146465271,HNSCC,False
ABCB8,0.4010688646350943,0.0244412622003467,0.0748590417643787,HNSCC,False
ABCC1,0.1233671192255726,0.1416505112772534,0.2741913032901499,HNSCC,False
ABCC10,0.3281884798992721,0.0834427586064405,0.1854452556814056,HNSCC,False
ABCC2,0.0199985410511726,0.9554518155633268,0.9775037878067102,HNSCC,False
ABCC3,-0.0089117909113725,0.9454347035818044,0.9713315665117738,HNSCC,False
ABCC4,0.3758442409490903,0.0137416174698717,0.0483784308903209,HNSCC,True
ABCC5,0.515332755693175,7.737284221228618e-05,0.0007410342215588,HNSCC,True
ABCD1,0.5240220752999258,4.297766359119581e-06,6.387624984160122e-05,HNSCC,True
ABCD3,-0.1345062763739041,0.3408430967173955,0.5086307389729213,HNSCC,False
ABCD4,-0.2719429177633512,0.2036136962593895,0.3564244778175492,HNSCC,False
ABCE1,0.4607152885724314,7.330985082625025e-05,0.0007113608609528,HNSCC,True
ABCF1,0.5382417780582918,5.1704600111895874e-11,2.271275947257696e-09,HNSCC,True
ABCF3,0.2854894246768428,0.0017884879751591,0.009826104075353,HNSCC,True
ABCG1,0.1828096903833911,0.2088241395714848,0.3624513066280116,HNSCC,False
ABCG2,-0.1156047986543342,0.4895221962444245,0.6474461924637198,HNSCC,False
ABHD10,0.025920982598571,0.8910433922574963,0.9399086166895732,HNSCC,False
ABHD11,0.3698644945433936,0.0023320536903289,0.0120520336979798,HNSCC,True
ABHD12,0.371385043704834,0.021776859481257,0.0689564092406846,HNSCC,False
ABHD13,0.1223385212026905,0.5625402874517553,0.7102219047629793,HNSCC,False
ABHD14B,0.0261910872592393,0.7741676510374278,0.8679620641075465,HNSCC,False
ABHD16A,0.5401575407342117,0.0002195396122659,0.0017767222396825,HNSCC,True
ABHD17A,0.3503113974913627,0.1179262732037033,0.2395369748557623,HNSCC,False
ABHD17B,0.4257117946698549,0.0105321758794938,0.0393072250963736,HNSCC,True
ABHD17C,0.6481353245912891,0.0009253494908433,0.0058106942915028,HNSCC,True
ABHD2,0.2544037960513933,0.342840126815203,0.5109072305473502,HNSCC,False
ABHD3,0.0129312935697153,0.9549687475171412,0.977317160854986,HNSCC,False
ABHD4,0.2454843735839804,0.1198977475131944,0.2424808863020887,HNSCC,False
ABHD5,0.3274929144391792,0.0249218054652655,0.0759651278175822,HNSCC,False
ABHD6,0.0028781752766026,0.9772243027185568,0.9879686818822224,HNSCC,False
ABI1,-0.1260958155576628,0.3638716219932217,0.5311487147125578,HNSCC,False
ABI2,0.3047929873829932,0.0031048094613098,0.0152151265661778,HNSCC,True
ABI3,0.1893394822031782,0.0429255298513484,0.1131683609381861,HNSCC,False
ABI3BP,0.5268973018055587,2.979214143322988e-41,1.2105540135702406e-38,HNSCC,True
ABL1,0.1218141151823982,0.4915718962834924,0.6488642572491361,HNSCC,False
ABL2,0.2269468287304023,0.1655817976063602,0.3072281073261917,HNSCC,False
ABLIM1,0.1818815286330373,0.000214239729574,0.0017483396174113,HNSCC,False
ABLIM2,-0.1172974912731333,0.1075022317068588,0.2243925007716797,HNSCC,False
ABLIM3,0.1368470958866839,0.0172590090867791,0.0576798686135264,HNSCC,False
ABO,-0.051373602629415,0.7851863444600476,0.8754963855594909,HNSCC,False
ABRACL,0.2993866508182521,0.0314579728754368,0.0896487876917767,HNSCC,False
ABT1,-0.2554542418369417,0.0753350627384737,0.172090992560618,HNSCC,False
ABTB1,-0.4817512663319062,0.009067451453223,0.0349647238322781,HNSCC,True
ABTB2,0.126920517121205,0.541033035000351,0.6911388731102205,HNSCC,False
AC093323.1,0.3361491072841348,0.2611457865132108,0.422057293681941,HNSCC,False
ACAA1,0.1450615929711604,0.263163903759511,0.4248260866516721,HNSCC,False
ACAA2,-0.2015947790652902,0.0154982527027504,0.0532179437877542,HNSCC,False
ACACA,0.0219359877485697,0.8832522728472717,0.9353324101212502,HNSCC,False
ACACB,-0.5839318648088179,0.0002032161957427,0.0016723749712098,HNSCC,True
ACAD10,0.002208535150868,0.9818533188125372,0.9904865589179542,HNSCC,False
ACAD11,0.1167103812673432,0.5908142250195678,0.7316343266528033,HNSCC,False
ACAD8,0.6678972065800375,6.063499726541765e-23,9.239257708318014e-21,HNSCC,True
ACAD9,0.8357496824665894,4.690882450175623e-07,8.834850483422437e-06,HNSCC,True
ACADL,-0.7429777652687869,0.0013231513496631,0.0077265700370749,HNSCC,True
ACADM,0.3249244314185336,5.965185482315032e-05,0.0005960295986018,HNSCC,True
ACADS,-0.2769456115065551,0.0038422436262904,0.0180332034721358,HNSCC,True
ACADSB,0.1137876687090317,0.0012049047060297,0.0072309111958167,HNSCC,False
ACADVL,-0.1083567686254448,0.1235173200929874,0.24764410064696,HNSCC,False
ACAN,-0.4958344857651046,0.0013091393733067,0.0076631015417093,HNSCC,True
ACAP1,0.0670302771154671,0.3490188983924683,0.516719644318104,HNSCC,False
ACAP2,0.1702071477104243,0.0112404258633069,0.0412221614926464,HNSCC,False
ACAP3,0.0876336427135894,0.6940848549971896,0.8112575219446228,HNSCC,False
ACAT1,-0.1758111857325487,0.0089143114357213,0.0345445211086994,HNSCC,False
ACAT2,-0.0271048658401213,0.814531567411454,0.8952227933502197,HNSCC,False
ACBD3,-0.1635570251363174,0.2608122092778303,0.4217977885368824,HNSCC,False
ACBD5,0.1688189413222178,0.2023977562633269,0.354700362702193,HNSCC,False
ACBD7,0.1588597118491445,0.4045274981300143,0.5703270437709845,HNSCC,False
ACD,-0.2643416841408233,0.4325015194030447,0.5948039510955425,HNSCC,False
ACE,0.0602490469397415,0.6775565029938435,0.7982155017562261,HNSCC,False
ACHE,-0.3924166350890488,0.0126405183075018,0.0453533239642228,HNSCC,True
ACIN1,-0.1772186463460132,0.1794553975809969,0.3258329989219665,HNSCC,False
ACKR1,0.1067729265619291,0.3024742898527184,0.4676913389319344,HNSCC,False
ACKR3,0.1586910439851616,0.2447079725939791,0.4041553371940944,HNSCC,False
ACLY,-0.3022392014412514,0.0035847180102929,0.0170694189630747,HNSCC,True
ACO1,0.3244623277257615,0.0258646326391399,0.078138753871404,HNSCC,False
ACO2,-0.199469241987221,0.1693127795276807,0.312360617849781,HNSCC,False
ACOT11,0.1815988618020072,0.0807801028509253,0.1814296552285177,HNSCC,False
ACOT13,-0.0604618966807695,0.7233614526283567,0.8322582451665568,HNSCC,False
ACOT2,-0.2872231196913593,0.2374866469018998,0.3960276642591188,HNSCC,False
ACOT7,0.4990354836273192,1.998585462179633e-15,1.546841700569506e-13,HNSCC,True
ACOT8,0.1102410010732422,0.5032757082943907,0.658872963792039,HNSCC,False
ACOT9,0.068250983641565,0.6113384093788378,0.7488722733654598,HNSCC,False
ACOX1,-0.2197315710632074,0.0485872624901827,0.1241024053966113,HNSCC,False
ACOX3,0.0103182142500621,0.9797870729791374,0.98932320725746,HNSCC,False
ACP1,0.2366928997979828,0.0652744192380725,0.1541671437175306,HNSCC,False
ACP2,-0.0832945293168098,0.2351802317239377,0.3937902553061284,HNSCC,False
ACP5,0.4805805191585008,5.406733204059189e-11,2.3433983202660084e-09,HNSCC,True
ACP6,-0.0498501739130834,0.6811691024255926,0.8012014337057507,HNSCC,False
ACSF2,0.2337203116036667,0.0417516525878284,0.1108225683278452,HNSCC,False
ACSF3,0.427568683132248,0.0072960633142883,0.0296710631530193,HNSCC,True
ACSL1,0.3323384037773059,0.0084908154868004,0.0334285153925225,HNSCC,True
