,gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
0,A1BG,lscc,0.23081295620741132,-5.674637371576171,-0.11118399960388414,3.14213312928366,0.3390388295767585,0.019421358202646413,0.6996005228250542,0.1972540686983494
1,A2M,lscc,-0.978087187334705,20.5085239528397,1.4775978047094382,-33.57971720239973,0.043298783800317354,0.08110175255858681,0.001046271547564263,0.002355938678806343
2,A2ML1,lscc,1.0794011534100447,-15.726902747638695,0.18940734402907822,-6.186020414952927,5.505151742790996e-09,4.477488281913608e-14,0.364747075145018,4.5197206118995144e-05
3,A4GALT,lscc,0.4499437664107135,-8.1590103291344,0.16926893261784662,-2.4625066743417565,0.5296564083395104,0.4963731162276182,0.8640016842356991,0.880277009462142
4,AAAS,lscc,0.5104739521469752,-8.079212611234466,-0.1269977727355438,1.734668137719003,0.10773144539039284,0.14485532961624614,0.7480418432286614,0.8018232929231035
5,AACS,lscc,0.6077632414543517,-8.865155036640251,1.1183391202936688,-18.22215124196275,0.2663225176759207,0.2861849243398393,0.025493585254244677,0.014671806322837249
6,AADAC,lscc,-0.07244037624923845,0.4485009820078479,1.1747179896520705,-19.29460693690546,0.7852484944815641,0.9195613438343997,3.0319360148317653e-10,4.774054822480535e-11
7,AAGAB,lscc,1.2531810849232634,-21.608158511125602,-0.028741690179797205,-0.4845964609250964,0.031949524641644494,0.03936329908741546,0.9767473952668132,0.9769581257232771
8,AAK1,lscc,0.9165905570957297,-15.23373576685718,0.12437999289365634,-2.1282981709245297,0.0068966662519475,0.007511786377912208,0.8087839006975033,0.7972169828369301
9,AAMDC,lscc,0.21948547576079036,-4.781935436465341,1.11700596257601,-17.932204671941786,0.7202699898057424,0.6391700486201819,0.022983820663314627,0.03573868189978701
10,AAMP,lscc,0.9606850487067791,-17.855778545072685,0.6476206809152262,-12.889263840192,0.10625274233629527,0.11258172506016202,0.3378174499562054,0.2983984764170393
11,AAR2,lscc,0.9919333997474902,-17.517523768899387,0.09148715355938952,-1.7116815504360465,0.02511546920309553,0.026163738031129282,0.8967200511376554,0.8881918948992871
