,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
2287,DDHD2,0.7430075676806054,0.6928004687260056,1.1548384609019914e-10,7.667685840191037e-09,0.05020709895459974,0.5450240890825644,ccrcc,True,True,False
2288,DDI2,0.3482968252525263,0.17520909668658247,0.15939180642800094,0.020509160336193065,0.17308772856594384,0.2518979259969476,ccrcc,False,False,False
2289,DDN,0.13905214880023303,0.17215911538509485,0.19228638649278362,0.3798120225218982,-0.03310696658486181,0.8879341301814376,ccrcc,False,False,False
2290,DDO,0.6089678468468468,0.5590685295074735,1.066086735583846e-06,1.1525564303919868e-05,0.04989931733937325,0.6832908322980923,ccrcc,False,True,False
2291,DDOST,0.41550761683970755,0.3519162659914224,0.003759501108154437,0.005033720416867634,0.06359135084828516,0.6245842070520621,ccrcc,False,False,False
2292,DDR1,0.4571201817877925,0.4531071449581746,0.00017012501547174333,0.0026592586397171727,0.0040130368296179,0.7418795740564587,ccrcc,False,False,False
2293,DDRGK1,0.24991842681489726,0.22576428757734648,0.06835119739883154,0.10181305109510416,0.024154139237550776,0.8929453711713562,ccrcc,False,False,False
2294,DDT,0.5560090390716388,0.6969747674860771,8.019660982957964e-11,8.910299566633673e-05,-0.14096572841443833,0.28741005858994684,ccrcc,False,True,False
2295,DDX1,0.266779050963821,0.28820830892197336,0.01893992626635633,0.08002356317431313,-0.02142925795815237,0.9323672697978831,ccrcc,False,False,False
2296,DDX10,0.30707862954516035,0.14131495935502747,0.2577170132799453,0.04260417541364338,0.16576367019013288,0.3833241523546489,ccrcc,False,False,False
2297,DDX11,0.8228428825326626,0.937020624658016,0.06297937534198395,0.17715711746733742,-0.11417774212535348,0.8633329113086166,ccrcc,False,False,False
2298,DDX17,0.4641656869001912,0.29781050791917163,0.015158083810263148,0.0015046306257910705,0.1663551789810196,0.3420199922492193,ccrcc,False,False,False
2299,DDX18,0.15101995424094988,0.2917386249011832,0.017465129827557702,0.3278065576692227,-0.1407186706602333,0.41788080471784306,ccrcc,False,False,False
2300,DDX19A,0.47705051555786543,0.6623244695191275,1.3896888303416867e-09,0.0010599424010481085,-0.18527395396126206,0.1586974180580717,ccrcc,False,True,False
2301,DDX19B,0.44395970323165757,0.5615782723639472,9.311834384108318e-07,0.002538034248990346,-0.11761856913228963,0.4964133300981505,ccrcc,False,True,False
2302,DDX20,0.13537073155821064,-0.0340662643155876,0.7859706818613194,0.38095382047538606,0.16943699587379824,0.44264320657711365,ccrcc,False,False,False
2303,DDX21,0.2713870848821528,0.38770692461059,0.001298231659835761,0.07475503196469256,-0.11631983972843718,0.5981323696835241,ccrcc,False,False,False
2304,DDX23,0.33079718544473224,0.4720819898000499,6.288195295407893e-05,0.0282894411724991,-0.14128480435531765,0.42802352423438295,ccrcc,False,False,False
2305,DDX24,0.20456358348714188,0.4245090297522351,0.0003816877396414295,0.18286232089351406,-0.21994544626509321,0.21778900444230997,ccrcc,False,False,False
2306,DDX25,0.7180531915389173,-0.11131432841871111,0.7755608179610536,0.0038247174739283723,0.8293675199576285,0.03248611793446835,ccrcc,False,False,False
2307,DDX27,0.32878089194492344,0.052781674979032404,0.6738273547163937,0.029325611445398563,0.275999216965891,0.13799954709053164,ccrcc,False,False,False
2308,DDX28,0.06054420371395015,0.648497868813999,3.918496745605521e-09,0.6962394833188854,-0.5879536651000488,0.0059419735349548536,ccrcc,False,True,False
2309,DDX31,0.09500064722164188,0.0857274742134231,0.5041039858211523,0.5704789742975557,0.009273173008218782,0.9484436899931604,ccrcc,False,False,False
2310,DDX39A,0.47750762179143874,0.7003779266346475,5.929875660736466e-11,0.001046587283508133,-0.22287030484320874,0.08429828089874647,ccrcc,False,True,False
2311,DDX39B,0.3907603739603862,0.6182111248310379,3.18725568545423e-08,0.008726799633014386,-0.2274507508706517,0.13265775795765125,ccrcc,False,True,False
2312,DDX3X,0.4142474206817593,0.49580463669336033,2.3051512505319613e-05,0.005181883569745975,-0.08155721601160104,0.5952047313204453,ccrcc,False,False,False
2313,DDX3Y,0.8668843316768586,0.8489681830897192,2.1761069351795333e-19,2.810864939685802e-14,0.017916148587139413,0.6818279445498954,ccrcc,True,True,False
2314,DDX41,0.6107807555559825,0.4858818963873998,3.5393190263762304e-05,1.0675664370143803e-05,0.12489885916858273,0.37599429754841407,ccrcc,False,False,False
2315,DDX42,0.135423385418605,0.5737588462689943,4.752136835151649e-07,0.38076688163200867,-0.4383354608503893,0.010044921585495368,ccrcc,False,True,False
2316,DDX46,-0.14040769563836242,-0.0030300342587236376,0.9737981825274079,0.19724793836111507,-0.13737766137963878,0.3184858655103444,ccrcc,False,False,False
2317,DDX47,0.28014789022968933,0.2800733975637162,0.022747765882793102,0.06549435484798728,7.449266597314708e-05,0.9912162845379832,ccrcc,False,False,False
2318,DDX49,0.19887855095864293,0.2987337967031742,0.01563983740437343,0.21255910136313866,-0.09985524574453125,0.5471125326583972,ccrcc,False,False,False
2319,DDX5,0.4174361960666583,0.4202311312885666,0.0004432614862980887,0.004814119188120551,-0.002794935221908268,0.9835476364340036,ccrcc,False,False,False
2320,DDX50,0.3951691384435983,0.235799858766804,0.056647948870488504,0.00793525341851179,0.1593692796767943,0.4484595631714816,ccrcc,False,False,False
2321,DDX51,0.15550699855065536,0.23940486569130218,0.05286419743429332,0.31346898703393056,-0.08389786714064681,0.5902944829986763,ccrcc,False,False,False
2322,DDX52,0.13772571577386952,0.09762537309659765,0.435494494443841,0.37264602446103906,0.040100342677271875,0.8507777074310878,ccrcc,False,False,False
2323,DDX54,0.29119065067889793,0.3727656563330411,2.3537972495080394e-05,0.005914756772375319,-0.08157500565414316,0.5541664551617399,ccrcc,False,False,False
2324,DDX55,0.2175382249276588,0.3124548638057534,0.010643436385273987,0.15604587711539386,-0.09491663887809457,0.6363595874758993,ccrcc,False,False,False
2325,DDX56,0.35241812824443164,0.045689212892488916,0.7156495063830441,0.01896554577671116,0.30672891535194274,0.4050234907237925,ccrcc,False,False,False
