Gene,Delta_Correlation,P_Value,FDR,Cancer
NOTCH2,0.29491239153226223,5.4742445960170464e-148,3.4829491708624584e-147,LUAD
NOTCH3,0.3976775772371059,0.01317713418326024,0.01747512099530847,LUAD
NOV,0.08326961844543113,0.013259752376684466,0.017580051292614873,LUAD
NOVA2,0.03776967886175753,0.00012541748909629594,0.0001951089580605693,LUAD
NOX1,-0.1986762633618453,4.843019398327587e-17,1.1887733559730892e-16,LUAD
NOXA1,0.39363296821266924,2.383521235870885e-09,4.708531050986888e-09,LUAD
NPAT,0.2568800345319826,0.4253620520097723,0.46281415696769057,LUAD
NPC1,0.0879726620268464,0.14590491854036117,0.1712352789169867,LUAD
NPC2,0.3180423483577812,0.0,0.0,LUAD
NPEPL1,0.42688853980529257,0.0005331708159063885,0.0007980900650598752,LUAD
NPEPPS,0.6232923206345846,2.0901750294828587e-24,5.95611065766801e-24,LUAD
NPHP3,-0.1546785561029288,0.8975804378972101,0.9100656813635759,LUAD
NPHP4,-0.17794248574637445,7.39520159454738e-08,1.3732385608187574e-07,LUAD
NPL,-0.06735000710372308,3.262888966003632e-20,8.59874249647119e-20,LUAD
NPLOC4,0.46968145169429537,1.375900933357882e-56,5.610128694222511e-56,LUAD
NPM1,0.7267576817621146,7.292747094842323e-45,2.6979677464883756e-44,LUAD
NPM3,0.7102054555087264,8.133782387286883e-40,2.8359693945829723e-39,LUAD
NPNT,0.21009899385362313,6.925522871460855e-13,1.5277156702637003e-12,LUAD
NPR1,0.16642058487604022,0.08771694012685297,0.10602555884835545,LUAD
NPR3,-0.0813911598306224,1.5929574182664645e-08,3.039370005755381e-08,LUAD
NPRL2,0.12414832534023243,0.8363820828465778,0.8543021295038308,LUAD
NPRL3,0.04438982778207864,3.342191803322218e-08,6.280423566153222e-08,LUAD
NPTN,0.4639466274574365,8.387834975627685e-126,4.894038980269076e-125,LUAD
NPY,0.40807228105269355,6.228578134804645e-06,1.0466633387570988e-05,LUAD
NQO1,0.37417183016988076,0.026777403119438794,0.03430822799368677,LUAD
NQO2,0.0887522749786184,0.11123288178680091,0.13268013256177283,LUAD
NR1H2,-0.06715308251386466,0.09836162967360486,0.11822702145751637,LUAD
