,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
6963,PMF1,0.5959713091699606,0.38160607134716024,0.0007298822881068622,0.00025259262934605346,0.21436523782280031,0.2624844878470831,lscc,False,False,False
6964,PML,0.5338733209872222,0.2450826641597922,5.1701750123802387e-05,5.704484151553858e-10,0.28879065682743,0.1909387785955876,lscc,True,False,False
6965,PMM1,0.09528998501738059,0.42451786015179754,0.00014711883897594702,0.5978496239734998,-0.329227875134417,0.05621941427746735,lscc,False,False,False
6966,PMM2,0.5737538224286957,0.5205550982857925,1.6902719704156686e-06,0.00048146095469448207,0.053198724142903164,0.6991884202685786,lscc,False,True,False
6967,PMP2,0.4058842219397185,0.05505111165154269,0.7071438119795904,0.06089700840173971,0.3508331102881758,0.16905955029087383,lscc,False,False,False
6968,PMPCA,0.7345077627679505,0.6418856287719397,5.435388473467777e-10,1.1380816905991422e-06,0.09262213399601082,0.3422986144601655,lscc,True,True,False
6969,PMPCB,0.28848413265836426,0.22628147946477736,0.050921324749400025,0.10349457310585543,0.06220265319358689,0.7439213309229977,lscc,False,False,False
6970,PMS1,0.641415038751681,0.5311845379892735,9.439350403859258e-07,5.7605850313621775e-05,0.11023050076240759,0.38823666102339616,lscc,False,True,False
6971,PMS2,0.6714544567165408,0.6767149109464786,2.6571423512641607e-11,1.8884415431001378e-05,-0.0052604542299378165,0.9593336343667719,lscc,False,True,False
6972,PMVK,0.762952592664092,0.5769290512923212,6.038920658313241e-08,2.4430126418948573e-07,0.1860235413717708,0.2501010366396019,lscc,True,True,False
6973,PNISR,0.32555898184139065,0.4721940350651122,1.894160746113066e-05,0.06448502851518402,-0.14663505322372156,0.4562012406234769,lscc,False,False,False
6974,PNKD,0.4276074041224708,0.3299868992694145,3.726644936737867e-05,0.0003420793200022991,0.09762050485305629,0.48453100707182784,lscc,False,False,False
6975,PNKP,0.7099439813251031,0.5348341392717888,7.692436917767636e-07,3.7074142198118145e-06,0.17510984205331426,0.13612697188516223,lscc,True,True,False
6976,PNMA1,0.814840250324354,0.7487059154051865,1.7232733293926712e-12,7.084260855847403e-07,0.06613433491916754,0.57069162445337,lscc,True,True,False
6977,PNMA2,0.0643106793674548,0.4215957937003808,0.0003088135190494302,0.7450888391004067,-0.357285114332926,0.08357776644931163,lscc,False,False,False
6978,PNMA8B,0.7170440045909937,0.3619253772167867,0.004155565162395381,2.5716135045010265e-05,0.355118627374207,0.04320693379514838,lscc,False,False,False
6979,PNN,0.5039064369834082,0.5501667191455311,3.169750595214178e-07,0.002791496632695751,-0.04626028216212286,0.7722200804049524,lscc,False,True,False
6980,PNO1,0.6838923764144126,0.6572198284799768,1.5108177889625215e-10,1.1459314063304404e-05,0.026672547934435742,0.8152707894444385,lscc,False,True,False
6981,PNP,0.7661158556106398,0.737149879262226,4.676329043316454e-14,2.032041873157888e-07,0.028965976348413802,0.7171000174243554,lscc,True,True,False
6982,PNPLA2,0.16299377422910857,0.3229816330156008,0.006389245935693106,0.3647737530786709,-0.15998785878649222,0.3206298107071116,lscc,False,False,False
6983,PNPLA4,0.37585674930995705,0.5546558763049731,4.292332558521834e-07,0.03400558241508499,-0.1787991269950161,0.4104452997904764,lscc,False,True,False
6984,PNPLA6,0.5654251476724675,0.591245842885242,2.3367502119577866e-08,0.0006060670517496864,-0.025820695212774414,0.8657096841511334,lscc,False,True,False
6985,PNPLA7,0.4341979826199718,0.15268001341601922,0.1909678411000657,0.01157858640981592,0.28151796920395256,0.19062079216141925,lscc,False,False,False
6986,PNPLA8,0.4391648137057514,0.6147089952719621,4.44410021534117e-09,0.010560123003137281,-0.1755441815662107,0.7050086128083803,lscc,False,True,False
6987,PNPO,0.5619049312632208,0.505653583137482,3.702936996616307e-06,0.0006667788357272959,0.05625134812573884,0.7034859759698677,lscc,False,True,False
6988,PNPT1,0.4939338285000243,0.7727260150128278,4.63900151773124e-16,0.003484792940986755,-0.27879218651280346,0.0067354700518028636,lscc,False,True,False
6989,POC1B,0.3083628544811817,0.21428587846587424,0.08403550093677381,0.11760755661308282,0.09407697601530748,0.6041626376521855,lscc,False,False,False
6990,POC1B-GALNT4,-0.07880528621811339,-0.033881882968617674,0.7744314868323436,0.668125771696329,-0.044923403249495716,0.8572068759440344,lscc,False,False,False
6991,POC5,0.44951274655623696,0.38457876875606684,0.0006576982863167042,0.008679440716795795,0.06493397780017013,0.7491798042057717,lscc,False,False,False
6992,PODN,0.4373749992440757,0.5071968895377336,3.4199092659890432e-06,0.01091803450471665,-0.06982189029365787,0.6687485999906819,lscc,False,True,False
6993,PODXL,0.7096626307404567,0.7410271941771349,2.9342854089478954e-14,3.755291454873824e-06,-0.03136456343667826,0.9245333141835348,lscc,True,True,False
6994,POF1B,0.8577530104470086,0.8942252237957601,3.404914898726923e-27,1.8041147672872474e-10,-0.0364722133487515,0.4765649021510464,lscc,True,True,False
6995,POFUT1,0.7448554155138646,0.7379502736644378,4.250250935544112e-14,6.654688934495769e-07,0.00690514184942681,0.9250241192272123,lscc,True,True,False
6996,POFUT2,0.6788889192700593,0.6845276284701878,1.2752604428763426e-11,1.4049804972989702e-05,-0.005638709200128433,0.9616342626863941,lscc,False,True,False
6997,POGK,0.8801763191599279,0.8639623441474078,1.904866683528539e-23,1.4856806283022385e-11,0.016213975012520088,0.7690799837602478,lscc,True,True,False
6998,POGLUT1,0.7519294223450248,0.7378957561829889,4.278045511548156e-14,4.5434742183732977e-07,0.01403366616203594,0.8503057794876009,lscc,True,True,False
6999,POGZ,0.7810269392138617,0.5477663681139034,3.6523612810744967e-07,8.193635141668835e-08,0.23326057109995824,0.13343192777081744,lscc,True,True,False
7000,POLA1,0.825278945526568,0.7666032284642281,1.0871321222523892e-15,3.444616939596832e-09,0.05867571706233987,0.43409614933585505,lscc,True,True,False
7001,POLA2,0.5465681699630992,0.6914680130756444,6.516184088359561e-12,0.0009985333691239693,-0.14489984311254522,0.29392825197090977,lscc,False,True,False
7002,POLB,0.7954295097680275,0.846301926178783,1.1815369829235344e-21,3.1804100320125214e-08,-0.05087241641075546,0.6159175022644972,lscc,True,True,False
7003,POLD1,0.33965867346291334,0.46655895061805064,2.4527939508129528e-05,0.05312679347736476,-0.1269002771551373,0.43044686248006025,lscc,False,False,False
7004,POLD2,0.5232547946974192,0.5524761767497103,2.762812588251272e-07,0.0017803580563008456,-0.02922138205229108,0.815374788842095,lscc,False,True,False
7005,POLD3,0.8258766919461328,0.7653705231535151,1.2864353412001772e-15,3.2808600848890842e-09,0.06050616879261772,0.41147593596011456,lscc,True,True,False
7006,POLD4,0.5173021243723306,0.38763996954262236,0.0005902136636873499,0.0020503123120123663,0.12966215482970822,0.39314430265108813,lscc,False,False,False
7007,POLDIP2,0.7331123863952937,0.7063224962014718,1.4509766319725619e-12,1.2211965190879752e-06,0.02678989019382194,0.7597435310531295,lscc,True,True,False
7008,POLDIP3,0.5346831449814083,0.5452369594625848,4.2355941730468163e-07,0.0013478404179741586,-0.010553814481176427,0.9607455832780426,lscc,False,True,False
